Nombre,Link,Arcade,Simulacion,Deportivo,E-sports,Terror,Exploracion,Estrategia,Accion,Animado,Historia,Conocido,Tiempo
Devil may cry - Xbox?,https://youtu.be/Z_QA4F9qn_c,1,1,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,1,0.5
Plantas VS Zombies,https://youtu.be/os4FDKTESYQ,1,1,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,1,0.5
Resident Evil,https://youtu.be/l2SCwbZIKhQ,1,1,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,1,0.83
God Of War - Sony,https://www.youtube.com/watch?v=AN3jEjjcZ-k,0.17,0.17,0.17,0.17,0.5,0.83,0.17,0.83,0.33,1,1,0.67
JoJo's Bizarre Adventure: Eyes of Heaven - CyberConnect2,https://www.youtube.com/watch?v=FtqEtcUme9s,0.17,0.17,0.83,0.17,0.17,0.17,0.17,0.83,0.67,0.83,0.67,0.5
Second Life - Linden Lab,https://www.youtube.com/watch?v=0LC-HO0ljN0,0.17,1,0.17,0.17,0.17,0.5,0.17,0.17,0.83,0.17,0.67,0.83
The Forest - Endnight Games,https://www.youtube.com/watch?v=8KXfxHujIAA,0.17,0.33,0.17,0.17,1,0.17,0.33,0.83,0.33,0.67,0.83,0.67
Valorant - Riot Games,https://www.youtube.com/watch?v=IhhjcB2ZjIM,0.17,0.17,0.5,1,0.17,0.17,0.5,0.83,0.67,0.17,1,0.33
Dying light - Techland,https://youtu.be/qltUB1YT2VY,0.17,0.17,0.17,0.33,0.67,1,0.33,1,0.5,0.83,0.67,0.67
Kena: birdge of spirits - Ember Lab,https://youtu.be/P37bxv9E-ns,0.17,0.33,0.17,0.17,0.17,1,0.67,0.83,0.83,1,0.5,0.5
Ruined King- Airship Syndicate,https://youtu.be/10-HgCd8BLY,0.33,0.17,0.17,0.17,0.67,1,0.83,0.5,0.5,1,0.17,0.5
Surviving mars - Haemimont Games & Abstraction Games,https://youtu.be/xi-fBszUuAk,0.17,1,0.17,0.17,0.17,1,0.83,0.33,0.67,0.33,0.5,0.5
Surviving the aftermath - Iceflake Studios,https://youtu.be/rzkdEqdlLcw,0.17,1,0.17,0.17,0.33,0.67,1,0.67,0.67,0.33,0.5,0.5
Little nightmares - Bandai Namco Ent,https://www.youtube.com/watch?v=dBYBoHl_OPE,0.17,0.17,0.17,0.17,1,1,0.33,0.67,0.17,0.83,1,0.5
Ao oni - Noprops,https://www.youtube.com/watch?v=qHLueaFbC3E,0.17,0.17,0.17,0.17,1,1,0.83,0.67,0.33,0.83,0.5,0.5
Dead by daylight - Behaviour,https://www.youtube.com/watch?v=hdGN5rSzot0,0.17,0.17,0.17,0.17,1,0.67,0.17,1,0.5,0.17,0.67,0.83
Luigi's Mansion 3 - Nintendo,https://www.youtube.com/watch?v=WbcUFhv9SYU,0.33,0.17,0.17,0.17,0.5,1,0.17,0.33,0.83,0.5,1,0.67
Mario odyssey - Nintendo,https://www.youtube.com/watch?v=xzw7Hicj80g,0.33,0.17,0.17,0.17,0.17,1,0.33,0.67,1,0.5,1,0.67
Among us - InnerSlot,https://youtu.be/wNTVQ7H_RSc,0.33,0.33,0.17,0.17,0.17,0.67,1,0.83,0.5,0.17,0.67,0.17
Cuphead - Studio MDHR,https://youtu.be/KF5y_zaMUzI,0.17,0.17,0.33,0.67,0.17,0.83,0.33,0.83,0.67,1,0.67,0.67
FIFA - EA Sports,https://youtu.be/SYsi5QuOJNE,0.5,0.83,1,0.5,0.17,0.17,0.17,0.17,0.67,0.17,1,0.33
Mortal Kombat - Midway,https://youtu.be/Ve9k3IiFu88,0.5,0.17,1,0.33,0.33,0.33,0.5,1,0.33,0.83,1,0.33
Overcooked 2 - Ghost Town Games,https://youtu.be/0JG5Y7ZWvWU,0.17,1,0.33,0.17,0.17,0.5,0.33,0.17,0.83,0.5,0.5,0.5
Into The Breach - Subset Games,https://youtu.be/gkfdcyCVY0s,0.33,0.17,0.17,0.17,0.17,0.33,1,0.67,0.83,0.17,0.17,0.17
Spelunky 2 - Mossmouth,https://youtu.be/qNtK4-1uAi4,0.17,0.17,0.17,0.17,0.17,1,0.17,0.5,0.83,0.17,0.17,0.17
Super Smash Bros Ultimate - Nintendo. Sora Ltd,https://youtu.be/m6CrWBOxecY,0.17,0.17,1,0.17,0.17,0.17,0.17,0.83,1,0.17,1,0.17
Undertale - Toby Fox,https://youtu.be/QtplRk6BdyA,0.67,0.17,0.17,0.17,0.17,1,0.17,0.17,0.67,1,0.17,1
XCOM 2 - Firaxis Games,https://youtu.be/y_2_8vlag54,0.17,0.17,0.33,0.5,0.17,0.33,1,0.83,0.83,0.67,0.83,0.5
